#id #x0 #y0 #z0 #w0
0 27.3855 -0.364891 -94.0324 -95.0
0 14.3429 23.3319 94.0324 95.0
1 27.3589 -1.26072 -94.0324 -95.0
1 15.0987 22.8501 94.0324 95.0
2 27.303 -2.15513 -94.0324 -95.0
2 15.8382 22.3439 94.0324 95.0
3 27.2178 -3.04733 -94.0324 -95.0
3 16.5608 21.8137 94.0324 95.0
4 27.1036 -3.93622 -94.0324 -95.0
4 17.2656 21.2602 94.0324 95.0
5 26.9603 -4.82092 -94.0324 -95.0
5 17.9521 20.6839 94.0324 95.0
6 26.7881 -5.70047 -94.0324 -95.0
6 18.6191 20.0855 94.0324 95.0
7 26.5872 -6.5739 -94.0324 -95.0
7 19.2664 19.4655 94.0324 95.0
8 26.3579 -7.4403 -94.0324 -95.0
8 19.8929 18.8247 94.0324 95.0
9 26.1004 -8.29873 -94.0324 -95.0
9 20.4982 18.1637 94.0324 95.0
10 25.8149 -9.14829 -94.0324 -95.0
10 21.0815 17.4833 94.0324 95.0
11 25.5017 -9.988 -94.0324 -95.0
11 21.6423 16.7842 94.0324 95.0
12 25.1613 -10.8171 -94.0324 -95.0
12 22.1799 16.0671 94.0324 95.0
13 24.7939 -11.6345 -94.0324 -95.0
13 22.6937 15.3327 94.0324 95.0
14 24.3999 -12.4395 -94.0324 -95.0
14 23.1833 14.5821 94.0324 95.0
15 23.9799 -13.2312 -94.0324 -95.0
15 23.6479 13.8158 94.0324 95.0
16 23.5341 -14.0087 -94.0324 -95.0
16 24.0873 13.0345 94.0324 95.0
17 23.0631 -14.7713 -94.0324 -95.0
17 24.5009 12.2395 94.0324 95.0
18 22.5675 -15.5179 -94.0324 -95.0
18 24.8883 11.4313 94.0324 95.0
19 22.0477 -16.248 -94.0324 -95.0
19 25.2489 10.6108 94.0324 95.0
20 21.5042 -16.9607 -94.0324 -95.0
20 25.5826 9.77906 94.0324 95.0
21 20.9378 -17.6552 -94.0324 -95.0
21 25.8888 8.93678 94.0324 95.0
22 20.349 -18.3309 -94.0324 -95.0
22 26.1674 8.08487 94.0324 95.0
23 19.7383 -18.9868 -94.0324 -95.0
23 26.4179 7.22441 94.0324 95.0
24 19.1065 -19.6224 -94.0324 -95.0
24 26.6401 6.35622 94.0324 95.0
25 18.4542 -20.2371 -94.0324 -95.0
25 26.8338 5.48112 94.0324 95.0
26 17.7822 -20.83 -94.0324 -95.0
26 26.9988 4.60024 94.0324 95.0
27 17.0911 -21.4008 -94.0324 -95.0
27 27.1349 3.71436 94.0324 95.0
28 16.3817 -21.9485 -94.0324 -95.0
28 27.2419 2.82452 94.0324 95.0
29 15.6549 -22.4727 -94.0324 -95.0
29 27.3197 1.93172 94.0324 95.0
30 14.9112 -22.973 -94.0324 -95.0
30 27.3683 1.03676 94.0324 95.0
31 14.1516 -23.4485 -94.0324 -95.0
31 27.3876 0.140737 94.0324 95.0
32 13.3768 -23.899 -94.0324 -95.0
32 27.3776 -0.755413 94.0324 95.0
33 12.5877 -24.3238 -94.0324 -95.0
33 27.3381 -1.65075 94.0324 95.0
34 11.7851 -24.7227 -94.0324 -95.0
34 27.2695 -2.54434 94.0324 95.0
35 10.9699 -25.095 -94.0324 -95.0
35 27.1717 -3.43519 94.0324 95.0
36 10.1429 -25.4406 -94.0324 -95.0
36 27.0447 -4.32244 94.0324 95.0
37 9.30504 -25.7588 -94.0324 -95.0
37 26.8888 -5.205 94.0324 95.0
38 8.4573 -26.0494 -94.0324 -95.0
38 26.7041 -6.08197 94.0324 95.0
39 7.60042 -26.3122 -94.0324 -95.0
39 26.4908 -6.95242 94.0324 95.0
40 6.73546 -26.5468 -94.0324 -95.0
40 26.2491 -7.81544 94.0324 95.0
41 5.86325 -26.7529 -94.0324 -95.0
41 25.9793 -8.67009 94.0324 95.0
42 4.98481 -26.9305 -94.0324 -95.0
42 25.6818 -9.51552 94.0324 95.0
43 4.10095 -27.0791 -94.0324 -95.0
43 25.3566 -10.3507 94.0324 95.0
44 3.21277 -27.1988 -94.0324 -95.0
44 25.0044 -11.1748 94.0324 95.0
45 2.32116 -27.2894 -94.0324 -95.0
45 24.6254 -11.987 94.0324 95.0
46 1.42699 -27.3507 -94.0324 -95.0
46 24.22 -12.7863 94.0324 95.0
47 0.531423 -27.3828 -94.0324 -95.0
47 23.7888 -13.5718 94.0324 95.0
48 -0.364891 -27.3855 -94.0324 -95.0
48 23.3319 -14.3429 94.0324 95.0
49 -1.26072 -27.3589 -94.0324 -95.0
49 22.8501 -15.0987 94.0324 95.0
50 -2.15513 -27.303 -94.0324 -95.0
50 22.3439 -15.8382 94.0324 95.0
51 -3.04733 -27.2178 -94.0324 -95.0
51 21.8137 -16.5608 94.0324 95.0
52 -3.93622 -27.1036 -94.0324 -95.0
52 21.2602 -17.2656 94.0324 95.0
53 -4.82092 -26.9603 -94.0324 -95.0
53 20.6839 -17.9521 94.0324 95.0
54 -5.70047 -26.7881 -94.0324 -95.0
54 20.0855 -18.6191 94.0324 95.0
55 -6.5739 -26.5872 -94.0324 -95.0
55 19.4655 -19.2664 94.0324 95.0
56 -7.4403 -26.3579 -94.0324 -95.0
56 18.8247 -19.8929 94.0324 95.0
57 -8.29873 -26.1004 -94.0324 -95.0
57 18.1637 -20.4982 94.0324 95.0
58 -9.14829 -25.8149 -94.0324 -95.0
58 17.4833 -21.0815 94.0324 95.0
59 -9.988 -25.5017 -94.0324 -95.0
59 16.7842 -21.6423 94.0324 95.0
60 -10.8171 -25.1613 -94.0324 -95.0
60 16.0671 -22.1799 94.0324 95.0
61 -11.6345 -24.7939 -94.0324 -95.0
61 15.3327 -22.6937 94.0324 95.0
62 -12.4395 -24.3999 -94.0324 -95.0
62 14.5821 -23.1833 94.0324 95.0
63 -13.2312 -23.9799 -94.0324 -95.0
63 13.8158 -23.6479 94.0324 95.0
64 -14.0087 -23.5341 -94.0324 -95.0
64 13.0345 -24.0873 94.0324 95.0
65 -14.7713 -23.0631 -94.0324 -95.0
65 12.2395 -24.5009 94.0324 95.0
66 -15.5179 -22.5675 -94.0324 -95.0
66 11.4313 -24.8883 94.0324 95.0
67 -16.248 -22.0477 -94.0324 -95.0
67 10.6108 -25.2489 94.0324 95.0
68 -16.9607 -21.5042 -94.0324 -95.0
68 9.77906 -25.5826 94.0324 95.0
69 -17.6552 -20.9378 -94.0324 -95.0
69 8.93678 -25.8888 94.0324 95.0
70 -18.3309 -20.349 -94.0324 -95.0
70 8.08487 -26.1674 94.0324 95.0
71 -18.9868 -19.7383 -94.0324 -95.0
71 7.22441 -26.4179 94.0324 95.0
72 -19.6224 -19.1065 -94.0324 -95.0
72 6.35622 -26.6401 94.0324 95.0
73 -20.2371 -18.4542 -94.0324 -95.0
73 5.48111 -26.8338 94.0324 95.0
74 -20.83 -17.7822 -94.0324 -95.0
74 4.60024 -26.9988 94.0324 95.0
75 -21.4008 -17.0911 -94.0324 -95.0
75 3.71435 -27.1349 94.0324 95.0
76 -21.9485 -16.3817 -94.0324 -95.0
76 2.82452 -27.2419 94.0324 95.0
77 -22.4727 -15.6549 -94.0324 -95.0
77 1.93172 -27.3197 94.0324 95.0
78 -22.973 -14.9112 -94.0324 -95.0
78 1.03676 -27.3683 94.0324 95.0
79 -23.4485 -14.1516 -94.0324 -95.0
79 0.140736 -27.3876 94.0324 95.0
80 -23.899 -13.3768 -94.0324 -95.0
80 -0.755414 -27.3776 94.0324 95.0
81 -24.3238 -12.5877 -94.0324 -95.0
81 -1.65075 -27.3381 94.0324 95.0
82 -24.7227 -11.7851 -94.0324 -95.0
82 -2.54434 -27.2695 94.0324 95.0
83 -25.095 -10.9699 -94.0324 -95.0
83 -3.43519 -27.1717 94.0324 95.0
84 -25.4406 -10.1429 -94.0324 -95.0
84 -4.32244 -27.0447 94.0324 95.0
85 -25.7588 -9.30504 -94.0324 -95.0
85 -5.205 -26.8888 94.0324 95.0
86 -26.0494 -8.4573 -94.0324 -95.0
86 -6.08197 -26.7041 94.0324 95.0
87 -26.3122 -7.60042 -94.0324 -95.0
87 -6.95242 -26.4908 94.0324 95.0
88 -26.5468 -6.73546 -94.0324 -95.0
88 -7.81544 -26.2491 94.0324 95.0
89 -26.7529 -5.86325 -94.0324 -95.0
89 -8.67009 -25.9793 94.0324 95.0
90 -26.9305 -4.98481 -94.0324 -95.0
90 -9.51552 -25.6818 94.0324 95.0
91 -27.0791 -4.10095 -94.0324 -95.0
91 -10.3507 -25.3566 94.0324 95.0
92 -27.1988 -3.21277 -94.0324 -95.0
92 -11.1748 -25.0044 94.0324 95.0
93 -27.2894 -2.32116 -94.0324 -95.0
93 -11.987 -24.6254 94.0324 95.0
94 -27.3507 -1.42699 -94.0324 -95.0
94 -12.7863 -24.22 94.0324 95.0
95 -27.3828 -0.531422 -94.0324 -95.0
95 -13.5718 -23.7888 94.0324 95.0
96 -27.3855 0.364892 -94.0324 -95.0
96 -14.3429 -23.3319 94.0324 95.0
97 -27.3589 1.26072 -94.0324 -95.0
97 -15.0987 -22.8501 94.0324 95.0
98 -27.303 2.15513 -94.0324 -95.0
98 -15.8382 -22.3439 94.0324 95.0
99 -27.2178 3.04734 -94.0324 -95.0
99 -16.5608 -21.8137 94.0324 95.0
100 -27.1036 3.93622 -94.0324 -95.0
100 -17.2656 -21.2602 94.0324 95.0
101 -26.9603 4.82092 -94.0324 -95.0
101 -17.9521 -20.6839 94.0324 95.0
102 -26.7881 5.70047 -94.0324 -95.0
102 -18.6191 -20.0855 94.0324 95.0
103 -26.5872 6.5739 -94.0324 -95.0
103 -19.2664 -19.4655 94.0324 95.0
104 -26.3579 7.4403 -94.0324 -95.0
104 -19.8929 -18.8247 94.0324 95.0
105 -26.1004 8.29873 -94.0324 -95.0
105 -20.4982 -18.1637 94.0324 95.0
106 -25.8149 9.14829 -94.0324 -95.0
106 -21.0815 -17.4833 94.0324 95.0
107 -25.5017 9.988 -94.0324 -95.0
107 -21.6423 -16.7842 94.0324 95.0
108 -25.1613 10.8171 -94.0324 -95.0
108 -22.1799 -16.0671 94.0324 95.0
109 -24.7939 11.6345 -94.0324 -95.0
109 -22.6937 -15.3327 94.0324 95.0
110 -24.3999 12.4395 -94.0324 -95.0
110 -23.1833 -14.5821 94.0324 95.0
111 -23.9799 13.2312 -94.0324 -95.0
111 -23.6479 -13.8158 94.0324 95.0
112 -23.5341 14.0087 -94.0324 -95.0
112 -24.0873 -13.0345 94.0324 95.0
113 -23.0631 14.7713 -94.0324 -95.0
113 -24.5009 -12.2395 94.0324 95.0
114 -22.5675 15.5179 -94.0324 -95.0
114 -24.8883 -11.4313 94.0324 95.0
115 -22.0477 16.248 -94.0324 -95.0
115 -25.2489 -10.6108 94.0324 95.0
116 -21.5042 16.9607 -94.0324 -95.0
116 -25.5826 -9.77906 94.0324 95.0
117 -20.9378 17.6552 -94.0324 -95.0
117 -25.8888 -8.93678 94.0324 95.0
118 -20.349 18.3309 -94.0324 -95.0
118 -26.1674 -8.08487 94.0324 95.0
119 -19.7383 18.9868 -94.0324 -95.0
119 -26.4179 -7.22441 94.0324 95.0
120 -19.1065 19.6224 -94.0324 -95.0
120 -26.6401 -6.35622 94.0324 95.0
121 -18.4542 20.2371 -94.0324 -95.0
